google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
Jotaro Urabe,http://scholar.google.com/citations?user=Y4rGJ1kAAAAJ&hl=en,,full,1988,268,,,,,,,,,,,,
Jouni Sorvari,http://scholar.google.com/citations?user=KwPYT9QAAAAJ&hl=en,m,assistant,-999,1001,,,,,,,,,,,,
Joy mk,http://scholar.google.com/citations?user=bD-4I6sAAAAJ&hl=en,m,associate,2003,692,,,,,,,,,,,,
JS Singh,http://scholar.google.com/citations?user=Q0ZX2xwAAAAJ&hl=en,,,-999,52,,,,,,,,,,,,
JS Singh,http://scholar.google.com/citations?user=3zcZsbUAAAAJ&hl=en,,,-999,58,,,,,,,,,,,,
Juan A Bonachela,http://scholar.google.com/citations?user=pAS9jgYAAAAJ&hl=en,m,,2008,,,,,,,,,,,60,,
Juan Carlos Alonso,http://scholar.google.com/citations?user=iOZpXdYAAAAJ&hl=en,m,,-999,,,,104,,29,15,,,,,,
Juan Carlos Linares,http://scholar.google.com/citations?user=yspzPZkAAAAJ&hl=en,m,,-999,912,,,,,,,,,,,,
Juan Carlos Ortiz,http://scholar.google.com/citations?user=1qY46vkAAAAJ&hl=en,m,postdoc,2010,,,172,,,,,,,,,,
Juan Carlos Senar,http://scholar.google.com/citations?user=3e2mCsEAAAAJ&hl=en,m,,1989,,,,,,,16,,,53,,,
Juan Diego Gaitan Espitia,http://scholar.google.com/citations?user=tXUaCMcAAAAJ&hl=en,m,student,0,,,,,,,,,,264,,,
Juan J. Roblado-Arnuncio,http://scholar.google.com/citations?user=0xR66jwAAAAJ&hl=en,m,,-999,,,,,,,,,,120,,,
Juan L Cantalpiedra,http://scholar.google.com/citations?user=19hBfQ8AAAAJ&hl=en,m,student,0,,139,,,,,,,,,,,
Juan M Gonzalez,http://scholar.google.com/citations?user=H-J2mIwAAAAJ&hl=en,m,,-999,246,,,,,,,,,,,,
Juan M. Morales,,,,2004,,,,,,,,,,,,,
Juan Parra,http://scholar.google.com/citations?user=USDYbtIAAAAJ&hl=en,m,,2008,,,22,,,,,,,,,,
Juan Pedro Ferrio,http://scholar.google.com/citations?user=-RVa0pkAAAAJ&hl=en,m,,2004,626,,,,,,,,,,,,
Juan Traba,http://scholar.google.com/citations?user=ySpPCvYAAAAJ&hl=en,m,Senior Lecturer,-999,821,,,,,,,,,,,,
JuanManuel Cellini,http://scholar.google.com/citations?user=LKrlm24AAAAJ&hl=en,m,,-999,927,,,,,,,,,,,,
Judit K Szabo,http://scholar.google.com/citations?user=1i8y0a0AAAAJ&hl=en,,,2005,,,,247,,,,,,,,,
Juergen Gadau,http://scholar.google.com/citations?user=v_2fE7kAAAAJ&hl=en,m,associate,1997,,,,,,27,,,,,,,
jukka jokela,http://scholar.google.com/citations?user=jvnAr34AAAAJ&hl=en,m,,1993,317,,,,,,,,,,,,
Juli Carillo,http://scholar.google.com/citations?user=HagiwgEAAAAJ&hl=en,f,student,0,1221,,,,,,,,,,,,
juli g. pausas,http://scholar.google.com/citations?user=1XCeE1YAAAAJ&hl=en,m,,1993,135,,,,,,,,,,,,
Julia Astegiano,http://scholar.google.com/citations?user=5u4bPWAAAAAJ&hl=en,f,postdoc,2010,1537,,,,,,,,,,,,
Julia Buck,http://scholar.google.com/citations?user=4h59toMAAAAJ&hl=en,f,student,0,,,219,,,,,,,,,,
Julia Ferrari,http://scholar.google.com/citations?user=2ZoiohsAAAAJ&hl=en,f,assistant,2001,,,,,,,,,,109,,,
Julia K. Baum,http://scholar.google.com/citations?user=d9ar-EQAAAAJ&hl=en,f,assistant,2007,297,13,32,,,,,,,,,,
Julia Reiss,http://scholar.google.com/citations?user=u0Sk5NkAAAAJ&hl=en,f,lecturer,2007,989,,,,,,,,,,,,
Julia Schroeder,http://scholar.google.com/citations?user=j3Uw9LQAAAAJ&hl=en,f,postdoc,2009,,,,,,131,,,,,,,
Julian Aguirre-Santoro,http://scholar.google.com/citations?user=NyJkxN0AAAAJ&hl=en,m,student,0,,,,726,,,,,,,,,
Julian Caley,http://scholar.google.com/citations?user=2Xu0dXcAAAAJ&hl=en,m,,1991,251,,,,,,,,,,,,
Julian D. Olden,http://scholar.google.com/citations?user=1swRcYsAAAAJ&hl=en,m,associate,2004,,,,40,,,,,,,,,
Juliana Schietti,http://scholar.google.com/citations?user=xRs83hoAAAAJ&hl=en,f,student,0,,,,,,,,89,,,,,
Juliane Wischnewski,http://scholar.google.com/citations?user=nBIL9OMAAAAJ&hl=en,f,,-999,1488,,,,,,,,,,,,86
Juliano Sarmento Cabral,http://scholar.google.com/citations?user=uqZZxF4AAAAJ&hl=en,m,postdoc,2010,,,,,,,,,,,57,,
Juliano van Melis,http://scholar.google.com/citations?user=U6IT1Y0AAAAJ&hl=en,m,,-999,1637,,,,,,,,,,,,
Julie Faure-Lacroix,http://scholar.google.com/citations?user=yftrLbUAAAAJ&hl=en,,student,0,,,,747,,,,,,,,,
Julie S. Barber,http://scholar.google.com/citations?user=asKCY5cAAAAJ&hl=en,f,,-999,1573,,,,,,,,,,,,
Julien Beuzelin,http://scholar.google.com/citations?user=0zoHKNYAAAAJ&hl=en,m,postdoc,2011,1331,,,,,,,,,,,,
Julien Moderan,http://scholar.google.com/citations?user=x0O6sbEAAAAJ&hl=en,m,postdoc,2010,1496,,,,,,,,,,,,
Julien Terraube,http://scholar.google.com/citations?user=7THRqy8AAAAJ&hl=en,,postdoc,2010,,,,,,164,,,,,,,
Juliet C. Stromberg,http://scholar.google.com/citations?user=_K1AD_MAAAAJ&hl=en,f,associate,1988,,,,33,,,,,,,,,
Julio Blas,http://scholar.google.com/citations?user=X57IPHsAAAAJ&hl=en,m,,2002,591,,,,,,,,,,,,
Julio Edelstein,http://scholar.google.com/citations?user=es8ZTJkAAAAJ&hl=en,m,,2002,1301,,,,,,,,,,,,
Jurate Maciunas Landwehr,http://scholar.google.com/citations?user=3NicRmYAAAAJ&hl=en,,,1974,,,,,,,,,,,,,
Jurgen Dengler,http://scholar.google.com/citations?user=j-9uXQ8AAAAJ&hl=en,m,,2003,,40,,,,,,,,,,,
Jussi Jyvasjarvi,http://scholar.google.com/citations?user=h0BWgl0AAAAJ&hl=en,,,-999,,,223,,,,,,,,,,
Justice Muvengwi,http://scholar.google.com/citations?user=8z4QEFYAAAAJ&hl=en,m,,-999,,,,722,,,,,,,,,
Justin A Welbergen,http://scholar.google.com/citations?user=eb6kAX0AAAAJ&hl=en,m,,-999,,,,,,,,,,154,,,
Justin Bahl,http://scholar.google.com/citations?user=VQ5JSeQAAAAJ&hl=en,m,assistant,2006,424,,,,,,,,,,,,
Justin Boyles,http://scholar.google.com/citations?user=iH__zNUAAAAJ&hl=en,m,assistant,2009,,,,,22,,,,,,,,
Justin Meager,http://scholar.google.com/citations?user=oa-5L8oAAAAJ&hl=en,m,,2002,,,,415,,,,,,,,,
Justin Montemarano,http://scholar.google.com/citations?user=CZm5fY8AAAAJ&hl=en,m,student,0,,,301,,,,,,,,,,
Justin Travis,http://scholar.google.com/citations?user=Fie2YHAAAAAJ&hl=en,m,associate,1999,,,,95,,,,,,,10,,
Justine Murray,http://scholar.google.com/citations?user=FM7lh6oAAAAJ&hl=en,f,,-999,1158,,,,,,,,,,,,
JV Ross,,,,2007,,,,,,,,,,,,,
JW Hollister,http://scholar.google.com/citations?user=Fn9BjfIAAAAJ&hl=en,m,,2004,,,,,,,,,,,,136,
JW Prakash,http://scholar.google.com/citations?user=d14_qEYAAAAJ&hl=en,,,-999,303,,,,,,,,,,,,
Jyh-Min Chiang,http://scholar.google.com/citations?user=h7UU2TEAAAAJ&hl=en,,assistant,2007,,,,,,,,81,,,,,
K Chatterjea,http://scholar.google.com/citations?user=1JX4xzoAAAAJ&hl=en,,,-999,,,,421,,,,,,,,,
Kabir Peay,http://scholar.google.com/citations?user=4pttWjEAAAAJ&hl=en,m,assistant,2008,805,60,,,,,,,,,,,
Kai MA Chan,http://scholar.google.com/citations?user=OByl3J0AAAAJ&hl=en,m,associate,2003,450,,,172,,,,,,,,,
Kamal JK Gandhi,http://scholar.google.com/citations?user=iBznkiYAAAAJ&hl=en,f,,2005,,,115,,,,,,,,,,
Kamal Prasad Acharya,http://scholar.google.com/citations?user=Iy60kQkAAAAJ&hl=en,m,student,0,,,,618,,,,,,,,,
Kamil Barton,http://scholar.google.com/citations?user=4tO6CFcAAAAJ&hl=en,m,postdoc,2010,939,,,,,,,,,,,,
Kamran Safi,http://scholar.google.com/citations?user=SJxAnwoAAAAJ&hl=en,m,,2007,657,,,,,,,,,,,,
Karel Douda,http://scholar.google.com/citations?user=uwHI8moAAAAJ&hl=en,m,,2011,,,,652,,,,,,,,,
Karel Weidinger,http://scholar.google.com/citations?user=6QNWwycAAAAJ&hl=en,,,-999,,,,,,72,,,,,,,
Karen Grubb,http://scholar.google.com/citations?user=SysLcEcAAAAJ&hl=en,f,,-999,1631,,,,,,,,,,,,
Karen L McKee,http://scholar.google.com/citations?user=Ona0nzEAAAAJ&hl=en,f,,1993,168,,,,,,,,,,,,
Karen Lips,http://scholar.google.com/citations?user=7MfZxCEAAAAJ&hl=en,f,associate,1995,186,,,,,,,,,,,,
Karen Rickards,http://scholar.google.com/citations?user=OoVL6Z8AAAAJ&hl=en,f,student,0,1661,,,717,,,114,,,,,,
Karin Maldonado,http://scholar.google.com/citations?user=B7J_S_sAAAAJ&hl=en,f,,-999,,,,,,,,,83,,,,
Karin T. Burghardt,http://scholar.google.com/citations?user=Wj6lsxcAAAAJ&hl=en,f,student,0,,,225,,,,,,,,,,
Karina L Speziale,http://scholar.google.com/citations?user=gFV-beQAAAAJ&hl=en,f,student,0,,,,553,,,,,,,,,
Karine Pigeon,http://scholar.google.com/citations?user=656AlPIAAAAJ&hl=en,f,student,0,1658,,,,,,,,,,,,
Karl Cottenie,http://scholar.google.com/citations?user=lL7RlhMAAAAJ&hl=en,m,associate,2002,421,,,,,,,,,,,,
Karl EC Brennan,http://scholar.google.com/citations?user=lkTDFZ0AAAAJ&hl=en,m,,-999,843,,,317,,,,,,,,,
Karl Jarvis,http://scholar.google.com/citations?user=XsKZkaIAAAAJ&hl=en,m,student,0,,,,582,,,,,,,,,
Karol Zub,http://scholar.google.com/citations?user=BQMamo0AAAAJ&hl=en,m,,2006,747,,,,,,,,,,,,
Karthik Ram,http://scholar.google.com/citations?user=LKYjq7QAAAAJ&hl=en,m,postdoc,2009,1465,,,,,,,,,,,,
Kate Boersma,http://scholar.google.com/citations?user=8S7OMQoAAAAJ&hl=en,f,student,0,1502,,,,,,,,,,,,
Kate E. Jones,http://scholar.google.com/citations?user=Vd9jVC0AAAAJ&hl=en,f,,1998,,7,,,,,,,,,,,
Kate L Laskowski,http://scholar.google.com/citations?user=nLHi251JEvEC&hl=en,f,student,0,,,,,,105,,,,,,,
Kate M. Buckeridge,http://scholar.google.com/citations?user=kJnm9LMAAAAJ&hl=en,f,postdoc,2009,,,,,,,,74,,,,,
Kate Thibault,http://scholar.google.com/citations?user=mcZ339cAAAAJ&hl=en,f,,2006,,87,138,,,,,,,,,,
Katharina Schumann,http://scholar.google.com/citations?user=kpNHOEEAAAAJ&hl=en,f,,2006,1505,,,,,,,,,,,,
Katherine A. Parys,http://scholar.google.com/citations?user=FFZfYKEAAAAJ&hl=en,f,student,0,,,,,,,,,,,,174,
Katherine Bulinski,http://scholar.google.com/citations?user=EyPgfA8AAAAJ&hl=en,f,assistant,2008,,,,,,,,,,,,,82
Katherine Drayson,http://scholar.google.com/citations?user=sCBI_1IAAAAJ&hl=en,f,student,0,1729,,,,,,,,,,,,
Katherine F. Smith,http://scholar.google.com/citations?user=sczWfq8AAAAJ&hl=en,f,assistant,2006,,,,272,,,,,,,,,
Katherine Prager,http://scholar.google.com/citations?user=mZHtRjAAAAAJ&hl=en,f,postdoc,2011,,,,599,,,,,,,,,
"Kathleen Fisch, Ph.D.",http://scholar.google.com/citations?user=SxV5W6oAAAAJ&hl=en,f,postdoc,2011,,,,740,,,,,,,,,
Kathleen K Treseder,http://scholar.google.com/citations?user=DJRzQWoAAAAJ&hl=en,f,full,1999,,,,,,,,16,,,,,
Kathryn A. Hanley,http://scholar.google.com/citations?user=BgvIuVkAAAAJ&hl=en,f,associate,1994,,,,,,,,,,81,,,
Kathryn E Sieving,http://scholar.google.com/citations?user=2xUOAaUAAAAJ&hl=en,f,,1991,,,,,,44,,,,,,,
Kathryn G. Turner,http://scholar.google.com/citations?user=1vlKZG8AAAAJ&hl=en,f,student,0,,,,,,,,,,227,,,
Katia Koelle,http://scholar.google.com/citations?user=6uMrbtgAAAAJ&hl=en,f,assistant,2005,,,,,,,,,,,28,,
Katie Pagnucco,http://scholar.google.com/citations?user=RH34uugAAAAJ&hl=en,f,student,0,,,265,663,,,,,,,,,
Katrin Heer,http://scholar.google.com/citations?user=wsrK1-EAAAAJ&hl=en,f,student,0,1621,,,,,,,,,,,,
Katrin Lowe,http://scholar.google.com/citations?user=wKR5FCYAAAAJ&hl=en,f,student,0,1588,,,,,,,,,,,,
Katrin Schmidt,http://scholar.google.com/citations?user=tB-xphkAAAAJ&hl=en,f,student,0,1436,,,616,,,,,,,,,
Katrina Marie Dlugosch,http://scholar.google.com/citations?user=x5HHlI0AAAAJ&hl=en,f,assistant,2006,703,,,,,,,,,,,,
Katriona Shea,http://scholar.google.com/citations?user=sXpY0CUAAAAJ&hl=en,f,full,1994,243,,,,,,,,,,,,
Katsutoshi Watanabe,http://scholar.google.com/citations?user=jKVTNlYAAAAJ&hl=en,m,associate,1995,771,,,,,,,,,,,,
katy nicastro,,,,2008,,,,,,,,,,,,,
Katya Kovalenko,http://scholar.google.com/citations?user=VN9vNUAAAAAJ&hl=en,f,postdoc,2009,1300,,,,,,,,,,,,
Kayla C King,http://scholar.google.com/citations?user=CQu-cXQAAAAJ&hl=en,f,lecturer,2011,,,,,,,,,,182,,,
Kazuharu Ohashi,http://scholar.google.com/citations?user=Ey0GG4sAAAAJ&hl=en,m,assistant,1998,,,,,,74,,,,,,,
KE Beth Townsend,http://scholar.google.com/citations?user=PU0hmX4AAAAJ&hl=en,f,,-999,,,,,,,,,,,,,87
Keaton Stagaman,http://scholar.google.com/citations?user=mGjp-7UAAAAJ&hl=en,m,student,0,,,264,,,,,,,,,,
Kefeng NIU,http://scholar.google.com/citations?user=RlfeGHEAAAAJ&hl=en,m,,-999,1680,,,720,,,,,,,,,
Keisuke Koba,http://scholar.google.com/citations?user=cKs_ingAAAAJ&hl=en,,associate,2000,584,,,,,,,,,,,,
Keith Clay,http://scholar.google.com/citations?user=8v1PvG1CERwC&hl=en,m,full,1982,70,,,,,,,,,,,,
Keith Dunton,http://scholar.google.com/citations?user=hq_bsPoAAAAJ&hl=en,m,student,0,,,,670,,,,,,,,,
Kellie M. Kuhn,http://scholar.google.com/citations?user=iGf9VVsAAAAJ&hl=en,f,student,0,,,,,,91,,,,,,,
Kelly Andersen,http://scholar.google.com/citations?user=7gPk4gQAAAAJ&hl=en,f,postdoc,2009,,,,,,,,76,,,,,
Kelly Anderson,http://scholar.google.com/citations?user=7gPk4gQAAAAJ&hl=en,f,postdoc,2009,,,196,,,,,,,,,,
Kelly Andrews,http://scholar.google.com/citations?user=1sQweAkAAAAJ&hl=en,m,,-999,,,,479,,,,,,,,,
Kelly Benoit-Bird,http://scholar.google.com/citations?user=fsihvFMAAAAJ&hl=en,f,associate,2003,,,65,,,64,,,,,,,
Kelly Caylor,http://scholar.google.com/citations?user=VGaoB64AAAAJ&hl=en,m,assistant,2003,429,,,,,,,,,,,,
Kelly Weinersmith,http://scholar.google.com/citations?user=lmqolqwAAAAJ&hl=en,f,student,0,,,,,,134,,,,,,,
Kelvin Peh,http://scholar.google.com/citations?user=NEbMYfsAAAAJ&hl=en,m,,2009,635,,,234,,,,,,,,,
Ken Haste Andersen,http://scholar.google.com/citations?user=g1tHbaEAAAAJ&hl=en,m,full,1999,,,,,,,,,,,26,,
Ken Klemow,http://scholar.google.com/citations?user=IZqezpMAAAAJ&hl=en,m,full,1982,1112,,,,,,,,,,,,
Ken Whitney,http://scholar.google.com/citations?user=2gTmnm8AAAAJ&hl=en,m,associate,2003,619,,,,,,,,,,,,
Kendra L. Phelps,http://scholar.google.com/citations?user=FhGBqTwAAAAJ&hl=en,f,student,0,,,271,,,,,,,,,,
Kenneth Feeley,http://scholar.google.com/citations?user=XVDubskAAAAJ&hl=en,m,assistant,2005,579,,,,,,,,,,,,
Kenneth J Chapin,http://scholar.google.com/citations?user=nl6d1xcAAAAJ&hl=en,m,student,0,1705,,,,,,,,,,,,
Kenneth Locey,http://scholar.google.com/citations?user=z8bzT_MAAAAJ&hl=en,m,student,0,,131,,,,,,,,,,,
Kenneth Pienta,http://scholar.google.com/citations?user=qrZ788cAAAAJ&hl=en,m,full,1986,7,,,,,,,,,,,,
Kenneth Raffa,http://scholar.google.com/citations?user=mZKny4AAAAAJ&hl=en,m,full,1981,63,,,,,,,,,,,,
Kensuke Nakata,http://scholar.google.com/citations?user=gGLZMCQAAAAJ&hl=en,m,,-999,890,,,,,85,,,,,,,
Kent Fothergill,http://scholar.google.com/citations?user=4408cggAAAAJ&hl=en,m,,-999,,,,571,,,,,,,,,
Kentaro Kazama,http://scholar.google.com/citations?user=anDgQr0AAAAJ&hl=en,,,-999,,,,,,172,,,,,,,
Kerim Cicek,http://scholar.google.com/citations?user=eWaliIQAAAAJ&hl=en,m,associate,2009,,,,,,,,,79,,,,
Kerri M Crawford,http://scholar.google.com/citations?user=Zdz8FX4AAAAJ&hl=en,f,postdoc,2011,,,204,,,,,,,,,,
Kerry L. Metlen,http://scholar.google.com/citations?user=JJykv-AAAAAJ&hl=en,m,,2010,,,101,,,,,,,,,,
Kerry Waylen,http://scholar.google.com/citations?user=SYzWXLMAAAAJ&hl=en,f,,-999,,,,516,,,,,,,,,
Kerry Woods,http://scholar.google.com/citations?user=cAqLblAAAAAJ&hl=en,,full,1980,459,,,,,,,,,,,,
Kevin A Wood,http://scholar.google.com/citations?user=TUdfwlUAAAAJ&hl=en,m,postdoc,-999,1679,,,,,,,,,,,,
Kevin A. Zelnio,http://scholar.google.com/citations?user=3jPGF9gAAAAJ&hl=en,m,,-999,1400,,,,,,,,,,,,
Kevin D Kohl,http://scholar.google.com/citations?user=WDD-KkEAAAAJ&hl=en,m,student,0,,,,,47,,,,,,,,
Kevin D. Matson,http://scholar.google.com/citations?user=TXqz5FQAAAAJ&hl=en,m,postdoc,-999,684,,,,,,,,,,,,
Kevin Darras,http://scholar.google.com/citations?user=fj50HTsAAAAJ&hl=en,m,student,0,1444,,,,,,,,,,,,
Kevin E. McCluney,http://scholar.google.com/citations?user=fENJIxkAAAAJ&hl=en,m,postdoc,2010,,,207,,,,,,,,,,
Kevin Lafferty,http://scholar.google.com/citations?user=6pj0cygAAAAJ&hl=en,m,,1991,49,,,17,,,,,,,,,
Kevin Murphy,http://scholar.google.com/citations?user=S4qzBvYAAAAJ&hl=en,m,associate,-999,324,,,,,,,,,,,,
Kevin P. Oh,http://scholar.google.com/citations?user=tMHESD0AAAAJ&hl=en,m,postdoc,2009,976,,,,,,,,,,,,
Kevin Pangle,http://scholar.google.com/citations?user=o5adcl4AAAAJ&hl=en,m,assistant,2008,977,,,,,,,,,,,,
Kevyn E Wightman,http://scholar.google.com/citations?user=jyqXv64AAAAJ&hl=en,,,-999,1099,,,,,,,,,,,,
Kiho Kim,http://scholar.google.com/citations?user=PsUKJmkAAAAJ&hl=en,m,,1996,,,33,,,,,,,,,,
Kim Jensen,http://scholar.google.com/citations?user=AUtWgUwAAAAJ&hl=en,m,postdoc,2010,1459,,,,,,,,,,,,
Kimberly A. Nicholas,http://scholar.google.com/citations?user=IzjQ5KUAAAAJ&hl=en,f,assistant,2009,,,,,,,,40,,,,,
Kimberly A. Rosvall,http://scholar.google.com/citations?user=8rzcENYAAAAJ&hl=en,f,,2009,1367,,,,,,,,,,,,
Kimberly Van Niel,http://scholar.google.com/citations?user=o088nHwAAAAJ&hl=en,f,associate,-999,664,,,,,,,,,,,,
Kingsley Wayne Dixon,http://scholar.google.com/citations?user=RDUIaDcAAAAJ&hl=en,m,full,-999,,,,38,,,,,,,,,
Kirk Stueve,http://scholar.google.com/citations?user=1iLyRxoAAAAJ&hl=en,m,,2009,,,,,,,,,,,,148,
Kirsten M Prior,http://scholar.google.com/citations?user=_9M0LTgAAAAJ&hl=en,f,postdoc,2011,,,197,,,,,,,,,,
Kiwako S Araki,http://scholar.google.com/citations?user=Mv4Oa9cAAAAJ&hl=en,f,postdoc,-999,1337,,,,,,,,,,,,
Kiyoko Gotanda,http://scholar.google.com/citations?user=KE_QHK4AAAAJ&hl=en,f,student,0,,,,,,,105,,,246,,,
Klaus Mehltreter,http://scholar.google.com/citations?user=e4ApCHIAAAAJ&hl=en,m,,1994,932,,,,,,,,,,,,
Klaus Rohde,http://scholar.google.com/citations?user=zKK_LjYAAAAJ&hl=en,,,1975,,,,,,,,,,,,,
Klaus-Peter Koepfli,http://scholar.google.com/citations?user=t10YusYAAAAJ&hl=en,,,-999,,,,115,,,,,,,,,
Kleber Del Claro,http://scholar.google.com/citations?user=BB7VEFoAAAAJ&hl=en,m,,-999,531,,,,,,,,,,,,
Kleber Silva Vieira,http://scholar.google.com/citations?user=R5e1ZecAAAAJ&hl=en,,,-999,1368,,,,,,,,,,,,
Klement Tockner,http://scholar.google.com/citations?user=pwdyKLIAAAAJ&hl=en,m,,1993,,,,,,,,,,,,,
K-lynn Smith,http://scholar.google.com/citations?user=-5OKUYYAAAAJ&hl=en,f,,-999,,,,596,,,,,,,,,
Knud Andreas Jonsson,http://scholar.google.com/citations?user=L8ffR6MAAAAJ&hl=en,m,postdoc,2009,847,,,,,,,,,,,,
Koen Kramer,http://scholar.google.com/citations?user=RfaOPX8AAAAJ&hl=en,m,,1996,427,,,,,,,,,,,,
Koji SEIKE,http://scholar.google.com/citations?user=Fz1OSTkAAAAJ&hl=en,m,assistant,2009,,,,,,,,,,,,,79
Konrad Halupka,http://scholar.google.com/citations?user=bPnKov8AAAAJ&hl=en,m,,-999,,,,,,109,,,,,,,
Konstans Wells,http://scholar.google.com/citations?user=pRO6NIQAAAAJ&hl=en,m,,2006,1020,,,,,,,,49,,,,
Konstantin Zemoglyadchuk,http://scholar.google.com/citations?user=BKEHSHwAAAAJ&hl=en,m,,-999,1702,,,,,,,,,,,,
Konstantine J. Rountos,http://scholar.google.com/citations?user=ONYfefsAAAAJ&hl=en,m,student,0,,,,765,,,,,,,,,
korhan ozkan,http://scholar.google.com/citations?user=_Ebund42FEwC&hl=en,m,,-999,,,231,,,,,,,,,,
Korolev Nadia,http://scholar.google.com/citations?user=9RTMGMYAAAAJ&hl=en,,,1983,904,,,,,,,,,,,,
Kostas A. Triantis,http://scholar.google.com/citations?user=jTzQHXwAAAAJ&hl=en,m,assistant,2006,,,,255,,,,,,,,,
Krishna Kumar K,http://scholar.google.com/citations?user=5_Rhym0AAAAJ&hl=en,,,-999,,,,668,,,,,,,,,
Kristen J. Williams,http://scholar.google.com/citations?user=uijF8zsAAAAJ&hl=en,f,,1998,,,,275,,,,,,,,,
Kristin L. Matulich,,,,-999,,,,,,,,,,,,,
Kristin Marshall,http://scholar.google.com/citations?user=OWMf69wAAAAJ&hl=en,f,postdoc,2012,,,187,,,,,,,,,,
Kristina J. Anderson-Teixeira,http://scholar.google.com/citations?user=ePcFwr4AAAAJ&hl=en,f,postdoc,2007,,,,,,,,56,,,,,
Kristy Kroeker,http://scholar.google.com/citations?user=XPqpe1wAAAAJ&hl=en,f,postdoc,2012,,,109,,,,,,,,,,
Krisztian Magori,http://scholar.google.com/citations?user=kTh3ldQAAAAJ&hl=en,m,postdoc,2004,1146,,,,,,,,,,,,
Krivopalov Anton,http://scholar.google.com/citations?user=YUKkD0kAAAAJ&hl=en,,,-999,1617,,,,,,,,,,,,
Krushnamegh Kunte,http://scholar.google.com/citations?user=K2fD15gAAAAJ&hl=en,m,,1996,950,,,357,,,,,,,,,
Krzysztof Rozylo,http://scholar.google.com/citations?user=zH6NVecAAAAJ&hl=en,,,-999,1625,,,,,,,,,,,,
Krzysztof Swierkosz,http://scholar.google.com/citations?user=mKNxh1kAAAAJ&hl=en,m,,-999,,,,514,,,,,,,,,
Kurt E. Anderson,http://scholar.google.com/citations?user=elAHayUAAAAJ&hl=en,m,assistant,2004,623,,,220,,,,,,,,,
Kurt Fristrup,http://scholar.google.com/citations?user=nOgWoZ8AAAAJ&hl=en,m,,1985,,,,,,48,,,,,,,
Kurt Illerbrun,http://scholar.google.com/citations?user=etQjeMoAAAAJ&hl=en,m,student,0,,,,,,,,,100,,,,
Kurt M. Hartman,http://scholar.google.com/citations?user=zKlMlLEAAAAJ&hl=en,m,assistant,2005,1079,,,,,,,,,,,,
Kurt Riiters,http://scholar.google.com/citations?user=DpAppm8AAAAJ&hl=en,m,,1986,,,,,,,,,,,,13,
Kuruthumu Mwamende,http://scholar.google.com/citations?user=-d8GQZYAAAAJ&hl=en,f,,-999,1706,,,745,,,,,,,,,
Kusum J Naithani,http://scholar.google.com/citations?user=JXiOJk8AAAAJ&hl=en,,,2009,,,,,,,,99,,,,,
Kusum KK,http://scholar.google.com/citations?user=ZWVQljsAAAAJ&hl=en,,,-999,1689,,,,,,,,,,,,
KV Saji,http://scholar.google.com/citations?user=AqkifN0AAAAJ&hl=en,,,-999,,,,534,,,,,,,,,
Kyle Barrett,http://scholar.google.com/citations?user=SiggAawAAAAJ&hl=en,,,2009,,,,,,,,,,,,,
Kyle Dexter,http://scholar.google.com/citations?user=ryxUtgsAAAAJ&hl=en,m,postdoc,2009,,,,,,,,,,216,,,
Kyle E. Harms,http://scholar.google.com/citations?user=GSBO1qQAAAAJ&hl=en,m,associate,1997,,,18,,,,,,,31,,,
Kyle Edwards,http://scholar.google.com/citations?user=P0D0bbkAAAAJ&hl=en,m,postdoc,2010,1280,,,,,,,,,,,,
"Kyle Gibson, Ph.D.",http://scholar.google.com/citations?user=TW2blrgAAAAJ&hl=en,m,,2011,,,,,,187,,,,247,,,
Kyle S. Van Houtan,http://scholar.google.com/citations?user=xG3XGTQAAAAJ&hl=en,m,,2006,1023,,,,,,,,,,,,
Kym Ottewell,http://scholar.google.com/citations?user=wrE9a6wAAAAJ&hl=en,f,,2007,,,,546,,,,,,,,,
L Mucina,http://scholar.google.com/citations?user=6wob4m0AAAAJ&hl=en,,,-999,,,,,,,,,,,,,
L. Scott Johnson,http://scholar.google.com/citations?user=G9EU6vYAAAAJ&hl=en,m,full,1992,,,,,,,33,,,,,,
Lachezar Filchev,http://scholar.google.com/citations?user=RB2_Sb4AAAAJ&hl=en,,,-999,,,,,,,,,,,,175,
Lagadeuc,http://scholar.google.com/citations?user=EMgy6MAAAAAJ&hl=en,,,-999,583,,,,,,,,,,,,
Lance Bode,http://scholar.google.com/citations?user=LEJ9hfcAAAAJ&hl=en,m,,-999,,,,,,,,,,,34,,
Lara Kueppers,http://scholar.google.com/citations?user=DmasEl8AAAAJ&hl=en,f,assistant,2003,756,,,,,,,,,,,,
Lars Bejder,http://scholar.google.com/citations?user=LfP2xLYAAAAJ&hl=en,m,associate,2005,,,,144,,,,,,,,,
Lars Dalby,http://scholar.google.com/citations?user=UMxP_ZwAAAAJ&hl=en,m,student,0,,145,,,,,,,,,,,
Lars Gustafsson,http://scholar.google.com/citations?user=J41nZzsAAAAJ&hl=en,m,full,1985,111,,,,,,,,,,,,
Lars M Wetserberg,http://scholar.google.com/citations?user=FW7wtB0AAAAJ&hl=en,m,,2004,,,,,,,,,36,,,,
